Classes,Old Price,Price Change,New Price,date_range
Mitsubishi Eclipse Cross A/T / INFINITY - PL AWD 2025,"1,740,000
EGP","trending_down
-100,000
EGP","1,640,000
EGP",2025-11-18
Mitsubishi Eclipse Cross A/T / Instyle TL 2025,"1,660,000
EGP","trending_down
-100,000
EGP","1,560,000
EGP",2025-11-18
Mitsubishi Eclipse Cross A/T / Inspire - HL 2025,"1,600,000
EGP","trending_down
-100,000
EGP","1,500,000
EGP",2025-11-18
Mitsubishi Eclipse Cross A/T / Insport PLUS - ML PLUS 2025,"1,530,000
EGP","trending_down
-125,000
EGP","1,405,000
EGP",2025-11-18
Mitsubishi Eclipse Cross A/T / Insport BL 2025,"1,480,000
EGP","trending_down
-150,000
EGP","1,330,000
EGP",2025-11-18
GAC GS4 max A/T / Premium 2025,"1,440,000
EGP","trending_down
-90,000
EGP","1,350,000
EGP",2025-11-18
Changan CS 35 Plus A/T / FLAGSHIP 2025,"1,150,000
EGP","trending_down
-25,000
EGP","1,125,000
EGP",2025-11-16
Changan CS 35 Plus A/T / PREMIUM 2025,"1,050,000
EGP","trending_down
-20,000
EGP","1,030,000
EGP",2025-11-16
Changan CS 35 Plus A/T / ELITE 2025,"950,000
EGP","trending_down
-25,000
EGP","925,000
EGP",2025-11-16
Changan UNI-T A/T / Flagship 2025,"1,550,000
EGP","trending_down
-100,000
EGP","1,450,000
EGP",2025-11-16
Changan UNI-T A/T / Premium 2025,"1,450,000
EGP","trending_down
-100,000
EGP","1,350,000
EGP",2025-11-16
Haval H6 A/T / ULTRA 2026,"1,555,000
EGP","trending_down
-65,000
EGP","1,490,000
EGP",2025-11-16
Haval H6 A/T / Platinum 2026,"1,355,000
EGP","trending_down
-56,000
EGP","1,299,000
EGP",2025-11-16
Haval H6 HEV A/T / High Deluxe 2026,"1,590,000
EGP","trending_down
-100,000
EGP","1,490,000
EGP",2025-11-16
Haval H6 HEV A/T / High Deluxe 2025,"1,570,000
EGP","trending_down
-100,000
EGP","1,470,000
EGP",2025-11-16
Proton Saga A/T / Premium 2026,"670,000
EGP","trending_down
-20,100
EGP","649,900
EGP",2025-11-13
Toyota Corolla A/T / Elegance 2026,"1,650,000
EGP","trending_down
-150,000
EGP","1,500,000
EGP",2025-11-13
Toyota Corolla A/T / SMART 2026,"1,500,000
EGP","trending_down
-150,000
EGP","1,350,000
EGP",2025-11-13
Toyota Corolla AT / Comfort 2026,"1,400,000
EGP","trending_down
-150,000
EGP","1,250,000
EGP",2025-11-13
Toyota Corolla Automatic / Active 2026,"1,300,000
EGP","trending_down
-150,000
EGP","1,150,000
EGP",2025-11-13
Proton Saga A/T / Imported 2025,"670,000
EGP","trending_down
-20,000
EGP","650,000
EGP",2025-11-12
Citroën C4X A/T / Shine 2026,"1,449,000
EGP","trending_down
-100,000
EGP","1,349,000
EGP",2025-11-11
Citroën C4X A/T / Feel 2026,"1,289,000
EGP","trending_down
-90,000
EGP","1,199,000
EGP",2025-11-11
Haval Jolion Pro A/T / High Deluxe 2025,"1,340,000
EGP","trending_down
-141,000
EGP","1,199,000
EGP",2025-11-06
Haval H6 A/T / Platinum 2026,"1,399,000
EGP","trending_down
-44,000
EGP","1,355,000
EGP",2025-11-06
