Classes,Old Price,Price Change,New Price,date_range,brand,model
Mitsubishi Eclipse Cross A/T / INFINITY - PL AWD 2025,1740000.0,-100000.0,1640000.0,2025-11-18,Mitsubishi,Eclipse Cross A/T / INFINITY - PL AWD 2025
Mitsubishi Eclipse Cross A/T / Instyle TL 2025,1660000.0,-100000.0,1560000.0,2025-11-18,Mitsubishi,Eclipse Cross A/T / Instyle TL 2025
Mitsubishi Eclipse Cross A/T / Inspire - HL 2025,1600000.0,-100000.0,1500000.0,2025-11-18,Mitsubishi,Eclipse Cross A/T / Inspire - HL 2025
Mitsubishi Eclipse Cross A/T / Insport PLUS - ML PLUS 2025,1530000.0,-125000.0,1405000.0,2025-11-18,Mitsubishi,Eclipse Cross A/T / Insport PLUS - ML PLUS 2025
Mitsubishi Eclipse Cross A/T / Insport BL 2025,1480000.0,-150000.0,1330000.0,2025-11-18,Mitsubishi,Eclipse Cross A/T / Insport BL 2025
GAC GS4 max A/T / Premium 2025,1440000.0,-90000.0,1350000.0,2025-11-18,GAC,GS4 max A/T / Premium 2025
Changan CS 35 Plus A/T / FLAGSHIP 2025,1150000.0,-25000.0,1125000.0,2025-11-16,Changan,CS 35 Plus A/T / FLAGSHIP 2025
Changan CS 35 Plus A/T / PREMIUM 2025,1050000.0,-20000.0,1030000.0,2025-11-16,Changan,CS 35 Plus A/T / PREMIUM 2025
Changan CS 35 Plus A/T / ELITE 2025,950000.0,-25000.0,925000.0,2025-11-16,Changan,CS 35 Plus A/T / ELITE 2025
Changan UNI-T A/T / Flagship 2025,1550000.0,-100000.0,1450000.0,2025-11-16,Changan,UNI-T A/T / Flagship 2025
Changan UNI-T A/T / Premium 2025,1450000.0,-100000.0,1350000.0,2025-11-16,Changan,UNI-T A/T / Premium 2025
Haval H6 A/T / ULTRA 2026,1555000.0,-65000.0,1490000.0,2025-11-16,Haval,H6 A/T / ULTRA 2026
Haval H6 A/T / Platinum 2026,1355000.0,-56000.0,1299000.0,2025-11-16,Haval,H6 A/T / Platinum 2026
Haval H6 HEV A/T / High Deluxe 2026,1590000.0,-100000.0,1490000.0,2025-11-16,Haval,H6 HEV A/T / High Deluxe 2026
Haval H6 HEV A/T / High Deluxe 2025,1570000.0,-100000.0,1470000.0,2025-11-16,Haval,H6 HEV A/T / High Deluxe 2025
Proton Saga A/T / Premium 2026,670000.0,-20100.0,649900.0,2025-11-13,Proton,Saga A/T / Premium 2026
Toyota Corolla A/T / Elegance 2026,1650000.0,-150000.0,1500000.0,2025-11-13,Toyota,Corolla A/T / Elegance 2026
Toyota Corolla A/T / SMART 2026,1500000.0,-150000.0,1350000.0,2025-11-13,Toyota,Corolla A/T / SMART 2026
Toyota Corolla AT / Comfort 2026,1400000.0,-150000.0,1250000.0,2025-11-13,Toyota,Corolla AT / Comfort 2026
Toyota Corolla Automatic / Active 2026,1300000.0,-150000.0,1150000.0,2025-11-13,Toyota,Corolla Automatic / Active 2026
Proton Saga A/T / Imported 2025,670000.0,-20000.0,650000.0,2025-11-12,Proton,Saga A/T / Imported 2025
Citroën C4X A/T / Shine 2026,1449000.0,-100000.0,1349000.0,2025-11-11,Citroën,C4X A/T / Shine 2026
Citroën C4X A/T / Feel 2026,1289000.0,-90000.0,1199000.0,2025-11-11,Citroën,C4X A/T / Feel 2026
Haval Jolion Pro A/T / High Deluxe 2025,1340000.0,-141000.0,1199000.0,2025-11-06,Haval,Jolion Pro A/T / High Deluxe 2025
Haval H6 A/T / Platinum 2026,1399000.0,-44000.0,1355000.0,2025-11-06,Haval,H6 A/T / Platinum 2026
Haval Jolion A/T / High Deluxe 2025,1225000.0,-26000.0,1199000.0,2025-11-06,Haval,Jolion A/T / High Deluxe 2025
Haval Jolion A/T / Deluxe SR 2025,1175000.0,-26000.0,1149000.0,2025-11-06,Haval,Jolion A/T / Deluxe SR 2025
Hyundai Ioniq 5 A/T / N BOOST (AWD) 2025,3750000.0,-500000.0,3250000.0,2025-11-05,Hyundai,Ioniq 5 A/T / N BOOST (AWD) 2025
Hyundai Ioniq 5 A/T / EXTREME AWD 2025,3350000.0,-600000.0,2750000.0,2025-11-05,Hyundai,Ioniq 5 A/T / EXTREME AWD 2025
Hyundai Ioniq 5 A/T / EXTREME 2025,3150000.0,-600000.0,2550000.0,2025-11-05,Hyundai,Ioniq 5 A/T / EXTREME 2025
Hyundai Ioniq 5 A/T /  CONNECT PLUS 2025,2750000.0,-600000.0,2150000.0,2025-11-05,Hyundai,Ioniq 5 A/T /  CONNECT PLUS 2025
Hyundai Ioniq 6 A/T / EXTREME AWD 2025,3150000.0,-600000.0,2550000.0,2025-11-05,Hyundai,Ioniq 6 A/T / EXTREME AWD 2025
Hyundai Ioniq 6 A/T / EXTREME RWD 2025,2950000.0,-600000.0,2350000.0,2025-11-05,Hyundai,Ioniq 6 A/T / EXTREME RWD 2025
Hyundai Ioniq 6 A/T / CONNECT PLUS 2025,2700000.0,-600000.0,2100000.0,2025-11-05,Hyundai,Ioniq 6 A/T / CONNECT PLUS 2025
Hyundai Santa Fe Automtic 2025,3150000.0,-250000.0,2900000.0,2025-11-05,Hyundai,Santa Fe Automtic 2025
Hyundai Santa Fe A/T / 4w 2025,3650000.0,-250000.0,3400000.0,2025-11-05,Hyundai,Santa Fe A/T / 4w 2025
Chevrolet Optra A/T / Ls 2026,744900.0,-20000.0,724900.0,2025-11-04,Chevrolet,Optra A/T / Ls 2026
Chevrolet Optra A/T / Lt 2026,769900.0,-20000.0,749900.0,2025-11-04,Chevrolet,Optra A/T / Lt 2026
Baic U5 plus A/T / Highline 2025,749900.0,20000.0,769900.0,2025-11-03,Baic,U5 plus A/T / Highline 2025
Ds Ds4 A/T / Trocadero 2025,2060000.0,-170000.0,1890000.0,2025-11-03,Ds,Ds4 A/T / Trocadero 2025
Ds Ds4 A/T / Performance Line 2025,2200000.0,-200000.0,2000000.0,2025-11-03,Ds,Ds4 A/T / Performance Line 2025
Hyundai Tucson A/T / N-Line 2025,2199000.0,-100000.0,2099000.0,2025-11-02,Hyundai,Tucson A/T / N-Line 2025
Hyundai Tucson A/T / BLACK DIAMOND 2025,2099000.0,-100000.0,1999000.0,2025-11-02,Hyundai,Tucson A/T / BLACK DIAMOND 2025
Hyundai Tucson A/T / NIGHT 2025,1999000.0,-100000.0,1899000.0,2025-11-02,Hyundai,Tucson A/T / NIGHT 2025
Hyundai Tucson A/T / Redine 2025,1900000.0,-151000.0,1749000.0,2025-11-02,Hyundai,Tucson A/T / Redine 2025
Hyundai Tucson A/T / Blaze 2025,1749000.0,-100000.0,1649000.0,2025-11-02,Hyundai,Tucson A/T / Blaze 2025
Hyundai Tucson A/T / SHADOW 2025,1599000.0,-100000.0,1499000.0,2025-11-02,Hyundai,Tucson A/T / SHADOW 2025
Hyundai Tucson A/T / N-Line 2026,2250000.0,-100000.0,2150000.0,2025-11-02,Hyundai,Tucson A/T / N-Line 2026
Hyundai Tucson A/T / BLACK DIAMOND 2026,2150000.0,-100000.0,2050000.0,2025-11-02,Hyundai,Tucson A/T / BLACK DIAMOND 2026
Hyundai Tucson A/T / NIGHT 2026,2050000.0,-100000.0,1950000.0,2025-11-02,Hyundai,Tucson A/T / NIGHT 2026
Hyundai Tucson A/T / Redine 2026,1900000.0,-100000.0,1800000.0,2025-11-02,Hyundai,Tucson A/T / Redine 2026
Hyundai Tucson A/T / Blaze 2026,1800000.0,-100000.0,1700000.0,2025-11-02,Hyundai,Tucson A/T / Blaze 2026
Hyundai Tucson A/T / SHADOW 2026,1650000.0,-100000.0,1550000.0,2025-11-02,Hyundai,Tucson A/T / SHADOW 2026
Kaiyi X3 Pro A/T / Flagship 2026,849900.0,10000.0,859900.0,2025-11-02,Kaiyi,X3 Pro A/T / Flagship 2026
