model_ID,brand_ID,brand_Name,priceUSA
0101,1,ADX,1714752.18125
0102,1,Integra,1631962.908125
0103,1,MDX,2507264.88125
0104,1,RDX,2172333.91875
0105,1,TLX,2198043.408125
0106,1,ZDX,3106366.74375
0201,2,Giulia,2228706.101875
0202,2,Stelvio,2464572.976875
0203,2,Tonale,1874905.789375
0301,3,A3,1863112.445625
0302,3,A4,2042371.270625
0303,3,A4 allroad,2306542.170625
0304,3,A5,2245216.783125
0305,3,A6,2801862.608125
0306,3,A6 allroad,3386812.458125
0307,3,A6 e-tron,3169814.933125
0308,3,A7,3457572.520625
0309,3,A8,4401040.020625
0310,3,e-tron GT,5094488.633125
0311,3,Q3,1825373.745625
0312,3,Q4 e-tron,2448062.295625
0313,3,Q5,2202760.745625
0314,3,Q6 e-tron,3070750.845625
0315,3,Q7,2915078.708125
0316,3,Q8,3570788.620625
0317,3,Q8 e-tron,3566071.283125
0318,3,RS 3,3179249.608125
0319,3,RS 5,3830242.183125
0320,3,RS 6 Avant,6226649.633125
0321,3,RS 7,6320996.383125
0322,3,RS e-tron GT,7939043.145625
0323,3,RS Q8,6486103.195625
0324,3,S3,2514105.020625
0325,3,S4,2622603.783125
0326,3,S5,2792427.933125
0327,3,S6,3641548.683125
0328,3,S6 e-tron,3773634.133125
0329,3,S7,4103847.758125
0330,3,S8,5971913.408125
0331,3,S e-tron GT,6085129.508125
0332,3,SQ5,2816014.620625
0333,3,SQ6 e-tron,3500028.558125
0334,3,SQ7,4485952.095625
0335,3,SQ8,4764275.008125
0336,3,SQ8 e-tron,4292541.258125
0401,4,2 Series,1923494.365625
0402,4,3 Series,2296164.028125
0403,4,4 Series,2442401.490625
0404,4,5 Series,2881113.878125
0405,4,7 Series,4645398.103125
0406,4,8 Series,4466139.278125
0407,4,i4,2546182.915625
0408,4,i5,3220762.178125
0409,4,i7,5041654.453125
0410,4,iX,3600507.846875
0411,4,M2,3272652.890625
0412,4,M3,3753821.315625
0413,4,M4,3890624.103125
0414,4,M5,5805863.128125
0415,4,M8,6603093.165625
0416,4,X1,2074449.165625
0417,4,X2,2145209.228125
0418,4,X3,2456553.503125
0419,4,X3 M,3608527.320625
0420,4,X4,2664116.353125
0421,4,X4 M,3786842.678125
0422,4,X5,3244348.865625
0423,4,X5 M,6173815.453125
0424,4,X6,3659474.565625
0425,4,X6 M,6404964.990625
0426,4,X7,4145360.328125
0427,4,XM,7584299.365625
0428,4,Z4,2701855.053125
0501,5,Enclave,2268803.470625
0502,5,Encore GX,1315901.295625
0503,5,Envision,1881981.795625
0504,5,Envista,1188533.183125
0601,6,CT4,1721356.45375
0602,6,CT4-V,2429192.945625
0603,6,CT5,2363150.220625
0604,6,CT5-V,2787710.595625
0605,6,Escalade,4419909.370625
